simulationId,roundIndex,courtIndex,team1Players,team2Players,team1Strength,team2Strength,strengthDifferential,winner,strongerTeamWon,team1EngineWins,team2EngineWins,engineWinDifferential,engineBalancedTeamWon
8,2,4,P13|P7,P2|P8,4,3,1,2,false,1,1,0,false
8,3,1,P10|P13,P12|P17,4,6,2,1,false,1,1,0,true
8,3,2,P14|P5,P6|P8,4,3,1,1,true,1,1,0,true
8,3,3,P2|P4,P1|P9,2,3,1,2,true,2,0,2,false
8,3,4,P11|P15,P3|P7,5,3,2,1,true,1,1,0,true
8,4,1,P1|P2,P4|P5,2,2,0,2,false,1,1,0,false
8,4,2,P14|P8,P10|P17,5,6,1,2,true,1,1,0,false
8,4,3,P15|P16,P6|P9,6,3,3,1,true,1,1,0,true
8,4,4,P12|P13,P11|P3,4,3,1,1,true,1,1,0,true
8,5,1,P12|P6,P1|P15,3,4,1,2,true,1,1,0,false
8,5,2,P10|P7,P11|P5,4,3,1,1,true,1,1,0,true
8,5,3,P17|P9,P13|P8,6,4,2,2,false,1,1,0,false
8,5,4,P16|P3,P14|P4,4,4,0,1,true,1,1,0,true
8,6,1,P17|P7,P10|P4,6,3,3,1,true,1,1,0,true
8,6,2,P16|P5,P1|P12,4,3,1,2,false,1,1,0,false
8,6,3,P14|P9,P13|P15,5,5,0,2,false,0,2,2,true
8,6,4,P2|P6,P11|P8,2,4,2,2,true,0,1,1,true
8,7,1,P12|P8,P15|P16,4,6,2,2,true,2,1,1,false
8,7,2,P17|P2,P3|P9,5,3,2,1,true,1,0,1,true
8,7,3,P11|P6,P1|P10,3,3,0,2,false,1,1,0,false
8,7,4,P4|P7,P13|P14,3,5,2,2,true,1,1,0,false
8,8,1,P12|P6,P14|P2,3,4,1,2,true,0,2,2,true
8,8,2,P11|P15,P17|P3,5,5,0,2,false,1,1,0,false
8,8,3,P16|P8,P1|P4,5,2,3,2,false,1,1,0,false
8,8,4,P10|P9,P5|P7,4,3,1,1,true,1,0,1,true
8,9,1,P1|P6,P10|P16,2,5,3,2,true,1,1,0,false
8,9,2,P4|P5,P11|P14,2,5,3,2,true,1,1,0,false
8,9,3,P12|P17,P7|P9,6,4,2,2,false,1,1,0,false
8,9,4,P15|P2,P13|P3,4,3,1,2,false,1,1,0,false
8,10,1,P14|P9,P15|P5,5,4,1,2,false,2,0,2,false
8,10,2,P16|P6,P2|P7,4,3,1,2,false,1,1,0,false
8,10,3,P11|P17,P1|P4,6,2,4,1,true,1,0,1,true
8,10,4,P10|P8,P13|P3,4,3,1,1,true,1,2,1,false
9,1,1,P1|P13,P10|P3,3,3,0,2,false,0,0,0,false
9,1,2,P16|P9,P17|P5,5,5,0,1,true,0,0,0,true
9,1,3,P12|P15,P14|P2,5,4,1,2,false,0,0,0,false
9,1,4,P11|P7,P4|P8,4,3,1,2,false,0,0,0,false
9,2,1,P1|P2,P4|P6,2,2,0,2,false,1,1,0,false
9,2,2,P15|P16,P10|P7,6,4,2,1,true,1,1,0,true
9,2,3,P11|P9,P12|P3,4,3,1,1,true,1,1,0,true
9,2,4,P13|P8,P14|P17,4,7,3,1,false,1,1,0,true
9,3,1,P13|P7,P1|P6,4,2,2,1,true,1,1,0,true
9,3,2,P12|P8,P4|P5,4,2,2,1,true,1,1,0,true
9,3,3,P11|P14,P2|P9,5,3,2,1,true,1,1,0,true
9,3,4,P15|P17,P16|P3,7,4,3,1,true,1,1,0,true
9,4,1,P17|P6,P10|P9,5,4,1,1,true,1,0,1,true
9,4,2,P16|P4,P14|P8,4,5,1,1,false,0,2,2,false
9,4,3,P1|P11,P2|P7,3,3,0,1,true,1,1,0,true
9,4,4,P12|P5,P13|P3,3,3,0,2,false,1,1,0,false
9,5,1,P11|P2,P14|P16,3,6,3,2,true,1,1,0,false
9,5,2,P13|P9,P4|P7,4,3,1,2,false,1,1,0,false
9,5,3,P17|P8,P1|P10,6,3,3,1,true,1,1,0,true
9,5,4,P5|P6,P12|P15,2,5,3,2,true,1,0,1,false
9,6,1,P6|P7,P10|P14,3,5,2,2,true,1,1,0,false
9,6,2,P17|P2,P3|P5,5,2,3,1,true,1,0,1,true
9,6,3,P4|P9,P1|P16,3,4,1,1,false,1,1,0,true
9,6,4,P13|P15,P11|P8,5,4,1,2,false,1,1,0,false
9,7,1,P15|P4,P10|P7,4,4,0,1,true,1,1,0,true
9,7,2,P3|P9,P12|P16,3,5,2,1,false,1,0,1,true
9,7,3,P14|P5,P1|P11,4,3,1,1,true,1,1,0,true
9,7,4,P13|P8,P2|P6,4,2,2,2,false,1,1,0,false
9,8,1,P11|P17,P1|P4,6,2,4,1,true,0,1,1,false
9,8,2,P10|P16,P15|P2,5,4,1,1,true,0,2,2,false
9,8,3,P5|P8,P13|P3,3,3,0,1,true,1,1,0,true
9,8,4,P6|P7,P12|P9,3,4,1,1,false,1,1,0,true
9,9,1,P1|P16,P14|P8,4,5,1,2,true,1,1,0,false
9,9,2,P15|P7,P13|P17,5,6,1,2,true,1,1,0,false
9,9,3,P5|P9,P10|P2,3,3,0,2,false,1,1,0,false
9,9,4,P3|P6,P12|P4,2,3,1,1,false,1,0,1,true
9,10,1,P11|P2,P12|P3,3,3,0,2,false,1,1,0,false
9,10,2,P15|P6,P1|P14,4,4,0,1,true,1,1,0,true
9,10,3,P7|P8,P17|P9,4,6,2,2,true,1,1,0,false
9,10,4,P13|P5,P10|P4,3,3,0,1,true,1,1,0,true
10,1,1,P5|P6,P14|P17,2,7,5,2,true,0,0,0,false
10,1,2,P11|P12,P2|P8,4,3,1,2,false,0,0,0,false
10,1,3,P16|P3,P1|P4,4,2,2,1,true,0,0,0,true
10,1,4,P15|P9,P10|P13,5,4,1,1,true,0,0,0,true
10,2,1,P14|P5,P12|P8,4,4,0,2,false,1,1,0,false
10,2,2,P11|P3,P10|P15,3,5,2,1,false,1,1,0,true
10,2,3,P1|P16,P6|P7,4,3,1,1,true,1,0,1,true
10,2,4,P2|P4,P13|P9,2,4,2,2,true,1,1,0,false
10,3,1,P1|P15,P5|P8,4,3,1,2,false,1,1,0,false
10,3,2,P3|P6,P12|P4,2,3,1,1,false,1,1,0,true
10,3,3,P10|P16,P11|P17,5,6,1,2,true,1,1,0,false
10,3,4,P13|P2,P7|P9,3,4,1,1,false,1,1,0,true
10,4,1,P12|P13,P15|P6,4,4,0,1,true,1,1,0,true
10,4,2,P10|P17,P16|P2,6,4,2,2,false,1,1,0,false
10,4,3,P11|P7,P1|P3,4,2,2,2,false,1,1,0,false
10,4,4,P4|P5,P14|P9,2,5,3,1,false,1,0,1,true
10,5,1,P4|P6,P11|P5,2,3,1,1,false,1,1,0,true
10,5,2,P13|P14,P1|P2,5,2,3,2,false,1,2,1,true
10,5,3,P15|P8,P3|P7,5,3,2,1,true,0,1,1,false
10,5,4,P12|P9,P16|P17,4,7,3,2,true,1,1,0,false
