simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
611,9,10,P3|P9,P10|P8,P12|P17,true
614,5,6,P6|P7,P11|P17,P2|P9,true
617,6,7,P17|P19,P12|P3,P10|P2,true
620,5,6,P11|P15,P17|P5,P13|P20,true
621,9,10,P8|P9,P13|P18,P10|P11,true
622,1,2,P1|P9,P10|P8,P18|P3,true
622,3,4,P14|P16,P2|P6,P18|P19,true
623,6,7,P4|P5,P17|P18,P1|P3,true
626,9,10,P1|P2,P20|P5,P13|P16,true
627,6,7,P3|P8,P1|P15,P2|P20,true
628,2,3,P18|P9,P11|P19,P10|P13,true
628,6,7,P14|P17,P16|P9,P13|P15,true
635,1,2,P10|P3,P12|P18,P1|P7,true
637,1,2,P13|P14,P1|P4,P17|P18,true
637,4,5,P19|P9,P1|P20,P11|P3,true
638,8,9,P11|P7,P20|P3,P1|P3,true
638,9,10,P15|P4,P14|P8,P14|P5,true
640,5,6,P13|P15,P18|P9,P10|P4,true
640,6,7,P2|P8,P17|P5,P16|P5,true
640,9,10,P13|P4,P17|P8,P15|P19,true
642,6,7,P1|P2,P3|P6,P4|P7,true
643,1,2,P13|P9,P15|P7,P2|P8,true
644,1,2,P2|P3,P10|P5,P19|P6,true
648,9,10,P10|P11,P12|P13,P1|P8,true
651,7,8,P10|P20,P17|P4,P2|P8,true
651,8,9,P18|P19,P13|P5,P12|P4,true
651,9,10,P1|P2,P13|P14,P16|P20,true
654,8,9,P5|P7,P6|P8,P1|P15,true
655,2,3,P15|P16,P2|P7,P17|P20,true
657,6,7,P10|P14,P2|P6,P11|P5,true
659,4,5,P1|P8,P17|P4,P17|P9,true
659,8,9,P5|P7,P15|P17,P10|P19,true
663,5,6,P17|P8,P1|P16,P2|P7,true
663,6,7,P17|P8,P2|P7,P11|P9,true
664,7,8,P16|P6,P11|P12,P19|P20,true
666,3,4,P11|P20,P16|P3,P10|P6,true
666,6,7,P15|P17,P1|P7,P3|P4,true
667,2,3,P17|P2,P1|P16,P19|P5,true
