simulationId,fromRound,toRound,pairId,opponentFrom,opponentTo,opponentChanged
2,7,8,P1|P16,P2|P5,P3|P4,true
61,5,6,P12|P8,P13|P3,P11|P4,true
62,5,6,P13|P16,P1|P12,P19|P2,true
63,4,5,P3|P7,P15|P9,P19|P8,true
63,5,6,P3|P7,P19|P8,P1|P12,true
66,4,5,P2|P7,P11|P9,P12|P14,true
66,9,10,P12|P9,P13|P6,P5|P7,true
69,6,7,P20|P3,P1|P13,P17|P4,true
74,6,7,P10|P9,P17|P2,P14|P3,true
74,8,9,P11|P8,P1|P2,P15|P16,true
77,3,4,P17|P9,P13|P19,P11|P12,true
78,3,4,P16|P20,P13|P14,P2|P4,true
78,7,8,P15|P18,P5|P7,P16|P4,true
79,5,6,P17|P9,P19|P7,P1|P5,true
79,7,8,P12|P2,P19|P20,P18|P8,true
81,5,6,P10|P14,P11|P4,P17|P20,true
81,6,7,P17|P20,P10|P14,P13|P2,true
81,9,10,P13|P19,P14|P6,P14|P8,true
82,1,2,P19|P20,P15|P4,P17|P2,true
82,3,4,P6|P9,P11|P16,P16|P20,true
82,4,5,P6|P9,P16|P20,P13|P8,true
85,4,5,P17|P4,P13|P2,P16|P6,true
88,3,4,P2|P8,P4|P6,P16|P19,true
88,6,7,P11|P12,P14|P2,P13|P3,true
93,1,2,P14|P8,P12|P2,P18|P7,true
94,5,6,P20|P7,P10|P12,P14|P17,true
95,7,8,P10|P19,P14|P17,P11|P18,true
96,6,7,P10|P17,P2|P8,P19|P9,true
97,8,9,P13|P2,P20|P5,P17|P18,true
98,2,3,P15|P6,P18|P5,P16|P19,true
98,4,5,P10|P6,P14|P5,P11|P16,true
99,4,5,P5|P7,P10|P20,P13|P14,true
100,7,8,P16|P18,P19|P8,P14|P17,true
101,3,4,P2|P5,P19|P4,P15|P3,true
101,7,8,P11|P5,P6|P9,P3|P4,true
103,7,8,P10|P9,P16|P6,P13|P19,true
105,4,5,P14|P20,P10|P11,P15|P3,true
105,6,7,P14|P3,P19|P6,P5|P9,true
106,8,9,P10|P20,P12|P18,P15|P9,true
107,7,8,P15|P7,P17|P6,P14|P2,true
113,8,9,P15|P3,P18|P8,P5|P6,true
114,6,7,P13|P18,P14|P3,P7|P9,true
116,8,9,P15|P8,P2|P7,P1|P10,true
117,1,2,P14|P20,P10|P4,P3|P5,true
117,4,5,P10|P3,P13|P2,P13|P17,true
118,6,7,P2|P5,P12|P20,P10|P8,true
119,3,4,P15|P20,P4|P9,P16|P8,true
119,6,7,P16|P20,P19|P6,P1|P7,true
121,1,2,P13|P19,P15|P17,P1|P11,true
122,2,3,P13|P9,P11|P8,P16|P20,true
123,1,2,P10|P19,P20|P8,P3|P4,true
123,4,5,P13|P7,P15|P8,P20|P9,true
124,9,10,P11|P19,P10|P9,P18|P2,true
125,5,6,P13|P2,P20|P3,P1|P5,true
126,1,2,P14|P18,P11|P17,P12|P5,true
128,1,2,P16|P19,P15|P17,P10|P12,true
128,2,3,P1|P6,P5|P9,P13|P9,true
129,6,7,P1|P20,P7|P8,P2|P6,true
132,9,10,P12|P18,P16|P19,P15|P8,true
134,8,9,P18|P9,P19|P3,P12|P6,true
135,8,9,P18|P19,P2|P6,P13|P15,true
138,3,4,P10|P3,P2|P4,P12|P8,true
138,4,5,P18|P19,P13|P4,P16|P7,true
138,5,6,P18|P19,P16|P7,P11|P9,true
