simulationId,numPlayers,maxBenchCount,minBenchCount,benchRange,avgBenchCount,meanGap,doubleBenchCount,totalGapEvents
49,17,1,0,1,0.5882352941176471,0,0,0
50,17,1,0,1,0.5882352941176471,0,0,0
1,18,2,1,1,1.1111111111111112,4,0,2
2,18,2,1,1,1.1111111111111112,2,0,2
3,18,2,1,1,1.1111111111111112,2,0,2
4,18,2,1,1,1.1111111111111112,1.5,1,2
5,18,2,1,1,1.1111111111111112,1.5,0,2
6,18,2,1,1,1.1111111111111112,5,0,2
7,18,2,1,1,1.1111111111111112,5.5,0,2
8,18,2,1,1,1.1111111111111112,3,1,2
9,18,2,1,1,1.1111111111111112,4.5,0,2
10,18,2,1,1,1.1111111111111112,5.5,0,2
11,18,2,1,1,1.1111111111111112,3.5,0,2
12,18,2,1,1,1.1111111111111112,2.5,0,2
13,18,2,1,1,1.1111111111111112,3,0,2
14,18,2,1,1,1.1111111111111112,3.5,0,2
15,18,2,1,1,1.1111111111111112,8,0,2
16,18,2,1,1,1.1111111111111112,5,0,2
17,18,2,1,1,1.1111111111111112,4,0,2
18,18,2,1,1,1.1111111111111112,3.5,0,2
19,18,2,1,1,1.1111111111111112,3,0,2
20,18,2,1,1,1.1111111111111112,5.5,0,2
21,18,2,1,1,1.1111111111111112,5.5,0,2
22,18,2,1,1,1.1111111111111112,1,1,2
23,18,2,1,1,1.1111111111111112,6,0,2
24,18,2,1,1,1.1111111111111112,2.5,1,2
25,18,2,1,1,1.1111111111111112,4,1,2
26,18,2,1,1,1.1111111111111112,3.5,0,2
27,18,2,1,1,1.1111111111111112,2.5,0,2
28,18,2,1,1,1.1111111111111112,3,0,2
29,18,2,1,1,1.1111111111111112,3,0,2
30,18,2,1,1,1.1111111111111112,3.5,1,2
31,18,2,1,1,1.1111111111111112,3,0,2
32,18,2,1,1,1.1111111111111112,5,0,2
33,18,2,1,1,1.1111111111111112,2.5,0,2
34,18,2,1,1,1.1111111111111112,4,1,2
35,18,2,1,1,1.1111111111111112,2.5,0,2
36,18,2,1,1,1.1111111111111112,5.5,0,2
37,18,2,1,1,1.1111111111111112,1,1,2
38,18,2,1,1,1.1111111111111112,6.5,0,2
39,18,2,1,1,1.1111111111111112,4.5,0,2
40,18,2,1,1,1.1111111111111112,6,0,2
41,18,2,1,1,1.1111111111111112,7,0,2
42,18,2,1,1,1.1111111111111112,3,1,2
43,18,2,1,1,1.1111111111111112,1,1,2
44,18,2,1,1,1.1111111111111112,3.5,1,2
45,18,2,1,1,1.1111111111111112,5,0,2
