simulationId,numPlayers,numCourts,rounds,avgGamesBetweenBenches,minGamesBetweenBenches,maxGamesBetweenBenches,theoreticalMax
71,18,4,50,7.7317073170731705,1,15,8
72,18,4,50,7.780487804878049,0,15,8
73,18,4,50,7.878048780487805,1,16,8
74,18,4,50,7.829268292682927,0,16,8
75,18,4,50,7.7317073170731705,0,15,8
76,18,4,50,7.7439024390243905,0,15,8
77,18,4,50,7.682926829268292,0,15,8
78,18,4,50,7.695121951219512,0,14,8
79,18,4,50,7.695121951219512,1,15,8
80,18,4,50,7.7073170731707314,1,16,8
81,18,4,50,7.7560975609756095,1,15,8
82,18,4,50,7.829268292682927,1,16,8
83,18,4,50,7.7317073170731705,0,15,8
84,18,4,50,7.7439024390243905,0,16,8
85,18,4,50,7.7073170731707314,2,16,8
86,18,4,50,7.719512195121951,1,15,8
87,18,4,50,7.829268292682927,0,15,8
88,18,4,50,7.804878048780488,0,15,8
89,18,4,50,7.817073170731708,1,15,8
90,18,4,50,7.780487804878049,1,16,8
91,18,4,50,7.719512195121951,0,16,8
92,18,4,50,7.853658536585366,1,16,8
93,18,4,50,7.829268292682927,0,15,8
94,18,4,50,7.695121951219512,1,16,8
95,18,4,50,7.670731707317073,0,16,8
96,18,4,50,7.878048780487805,0,16,8
97,18,4,50,7.7317073170731705,0,16,8
98,18,4,50,7.7560975609756095,1,15,8
99,18,4,50,7.646341463414634,0,15,8
100,18,4,50,7.7073170731707314,0,16,8
101,18,4,50,7.7073170731707314,0,15,8
102,18,4,50,7.7317073170731705,1,15,8
103,18,4,50,7.634146341463414,0,15,8
104,18,4,50,7.658536585365853,1,15,8
105,18,4,50,7.878048780487805,0,16,8
106,18,4,50,7.7560975609756095,0,16,8
107,18,4,50,7.670731707317073,0,15,8
108,18,4,50,7.7682926829268295,1,15,8
109,18,4,50,7.634146341463414,0,15,8
110,18,4,50,7.7439024390243905,0,15,8
111,18,4,50,7.682926829268292,1,16,8
112,18,4,50,7.621951219512195,0,15,8
113,18,4,50,7.7926829268292686,0,16,8
114,18,4,50,7.841463414634147,0,15,8
115,18,4,50,7.682926829268292,0,16,8
116,18,4,50,7.7439024390243905,0,16,8
117,18,4,50,7.829268292682927,0,16,8
118,18,4,50,7.853658536585366,1,16,8
119,18,4,50,7.7317073170731705,0,15,8
120,18,4,50,7.804878048780488,1,16,8
121,18,4,50,7.7439024390243905,0,15,8
122,18,4,50,7.7317073170731705,0,16,8
123,18,4,50,7.682926829268292,1,16,8
124,18,4,50,7.7560975609756095,0,16,8
125,18,4,50,7.7439024390243905,0,16,8
126,18,4,50,7.817073170731708,1,15,8
127,18,4,50,7.682926829268292,1,16,8
128,18,4,50,7.7439024390243905,1,14,8
129,18,4,50,7.865853658536586,1,15,8
130,18,4,50,7.865853658536586,0,15,8
131,18,4,50,7.939024390243903,0,16,8
132,18,4,50,7.817073170731708,0,15,8
133,18,4,50,7.7682926829268295,1,14,8
134,18,4,50,7.7073170731707314,0,16,8
135,18,4,50,7.7682926829268295,2,15,8
136,18,4,50,7.7073170731707314,0,16,8
137,18,4,50,7.902439024390244,1,16,8
138,18,4,50,7.7560975609756095,1,15,8
139,18,4,50,7.719512195121951,1,16,8
140,18,4,50,7.780487804878049,1,16,8
141,18,4,50,7.7560975609756095,0,15,8
142,18,4,50,7.7439024390243905,0,15,8
143,18,4,50,7.7317073170731705,0,16,8
144,18,4,50,7.7926829268292686,0,16,8
145,18,4,50,7.853658536585366,1,16,8
146,18,4,50,7.670731707317073,0,16,8
147,18,4,50,7.7682926829268295,0,16,8
148,18,4,50,7.865853658536586,0,15,8
149,18,4,50,7.7317073170731705,0,16,8
150,18,4,50,7.695121951219512,1,16,8
151,18,4,50,7.890243902439025,1,16,8
152,18,4,50,7.7439024390243905,0,16,8
153,18,4,50,7.658536585365853,0,16,8
154,18,4,50,7.7560975609756095,1,16,8
155,18,4,50,7.682926829268292,0,16,8
156,18,4,50,7.7073170731707314,0,16,8
157,18,4,50,7.573170731707317,0,15,8
158,18,4,50,7.829268292682927,0,16,8
159,18,4,50,7.7073170731707314,0,15,8
160,18,4,50,7.719512195121951,0,16,8
161,18,4,50,7.7926829268292686,0,16,8
162,18,4,50,7.804878048780488,1,16,8
163,18,4,50,7.719512195121951,0,15,8
164,18,4,50,7.670731707317073,0,16,8
165,18,4,50,7.7560975609756095,1,16,8
166,18,4,50,7.804878048780488,0,15,8
167,18,4,50,7.719512195121951,0,15,8
168,18,4,50,7.780487804878049,0,15,8
169,18,4,50,7.817073170731708,1,16,8
170,18,4,50,7.597560975609756,0,15,8
171,18,4,50,7.658536585365853,1,16,8
172,18,4,50,7.780487804878049,0,16,8
173,18,4,50,7.682926829268292,0,15,8
174,18,4,50,7.804878048780488,0,16,8
175,18,4,50,7.804878048780488,1,16,8
176,18,4,50,7.7682926829268295,1,16,8
177,18,4,50,7.682926829268292,0,15,8
178,18,4,50,7.780487804878049,0,16,8
179,18,4,50,7.7073170731707314,0,16,8
180,18,4,50,7.7073170731707314,0,16,8
181,18,4,50,7.646341463414634,0,16,8
182,18,4,50,7.829268292682927,0,16,8
183,18,4,50,7.804878048780488,0,14,8
184,18,4,50,7.719512195121951,0,15,8
185,18,4,50,7.7317073170731705,0,15,8
